,STATION,AM_ENTERS,AM_EXITS, AM_AVG_ENTER , AM_AVG_EXIT 
0,ASTORIA DITMARS,13218,1005," 2,644 ", 201 
1,ASTORIA BLVD,5115,1111," 1,023 ", 222 
2,30 AV,6376,1530," 1,275 ", 306 
3,36 AV,3598,1718, 720 , 344 
4,QUEENSBORO PLZ,2983,1833, 597 , 367 
5,59 ST,2802,14181, 560 ," 2,836 "
6,5 AV/59 ST,2796,18810, 559 ," 3,762 "
7,57 ST-7 AV,2206,8214, 441 ," 1,643 "
8,49 ST,1351,6840, 270 ," 1,368 "
9,TIMES SQ-42 ST,89292,59136," 17,858 "," 11,827 "
10,34 ST-HERALD SQ,14027,21487," 2,805 "," 4,297 "
11,28 ST,623,3079, 125 , 616 
12,23 ST,982,2788, 196 , 558 
13,14 ST-UNION SQ,17962,48134," 3,592 "," 9,627 "
14,8 ST-NYU,1081,1320, 216 , 264 
15,PRINCE ST,350,1686, 70 , 337 
16,CANAL ST,5204,12597," 1,041 "," 2,519 "
17,ATL AV-BARCLAY,9061,5236," 1,812 "," 1,047 "
18,36 ST,8497,2805," 1,699 ", 561 
19,59 ST 4 AV,6767,1097," 1,353 ", 219 
20,8 AV,9474,2507," 1,895 ", 501 
21,FT HAMILTON PKY,5299,152," 1,060 ", 30 
22,NEW UTRECHT AV,5167,664," 1,033 ", 133 
23,18 AV,4645,278, 929 , 56 
24,20 AV,6406,300," 1,281 ", 60 
25,BAY PKWY,11490,129," 2,298 ", 26 
26,KINGS HWY,5600,405," 1,120 ", 81 
27,AVENUE U,3142,139, 628 , 28 
28,86 ST,3528,581, 706 , 116 
29,CONEY IS-STILLW,13607,4937," 2,721 ", 987 